id;name;inci;sap_naoh;sap_koh;lauric;myristic;palmitic;stearic;ricinoleic;oleic;linoleic;linolenic;iodine;ins
1;Cotton function eco-centric;project Lock;21955;97174;65632;89423;59465;68821;94323;50421;50352;20823;76893;70570
2;Account transparent Investment;green;95342;60471;83863;83481;41006;8083;74330;17253;83880;47850;53058;46179
3;Ergonomic Plastic Market;Electronics Vermont Strategist;56845;32683;98671;36544;61217;10719;11823;27690;45034;96640;38328;34328
4;Practical North rich;hack collaboration generate;49148;70026;94150;67008;99741;72139;37362;80089;11814;32471;33226;88841
5;AI;Account Multi-tiered extranet;82969;12716;46987;46305;60355;32030;66206;45668;45465;23711;30365;43072
6;innovative Concrete;deposit;42653;95188;32567;6118;9873;64124;5189;33481;6922;97905;36375;30647
7;Future-proofed;Steel RSS;31619;70849;42977;68177;19040;22507;39569;54240;91383;45651;57479;99143
8;withdrawal ROI;methodologies TCP;97888;70231;77808;581;65598;77978;34388;20569;45587;15529;79478;69262
9;connecting;Cross-platform end-to-end;53252;65263;75980;61530;58069;27338;34019;83853;81605;47016;52678;61698
10;payment niches;copy Inlet Congo;73403;17769;88469;39719;16320;99387;38850;39324;27674;87208;50564;20247
